NO.;Time;Interval;Indoor Temperature(oC);Indoor Humidity(%);Outdoor Temperature(oC);Outdoor Humidity(%);Relative Pressure(hpa);Absolute Pressure(hpa);Wind Speed(m/s);Gust(m/s);Wind Direction;DewPoint(oC);WindChill(oC);Hour Rainfall(mm);24 Hour Rainfall(mm);Week Rainfall(mm);Month Rainfall(mm);Total Rainfall(mm)
34; 23/11/2018 02:02:47;5; 22.0;74; 19.8;91; 1008.2; 904.2; 1.7; 2.4; ENE; 18.3; 19.8; 0.00; 0.00; 0.00; 0.00; 0.00
35; 23/11/2018 02:07:47;5; 22.0;73; 19.8;90; 1008.1; 904.1; 1.7; 2.4; SE; 18.1; 19.8; 0.00; 0.00; 0.00; 0.00; 0.00
36; 23/11/2018 02:12:47;5; 22.1;73; 19.8;90; 1008.1; 904.1; 1.7; 2.4; E; 18.1; 19.8; 0.00; 0.00; 0.00; 0.00; 0.00
37; 23/11/2018 02:17:47;5; 22.1;73; 19.8;90; 1008.2; 904.2; 1.4; 2.4; ENE; 18.1; 19.8; 0.00; 0.00; 0.00; 0.00; 0.00
38; 23/11/2018 02:22:47;5; 22.1;73; 19.9;90; 1008.1; 904.1; 1.7; 2.7; E; 18.2; 19.9; 0.00; 0.00; 0.00; 0.00; 0.00
39; 23/11/2018 02:27:47;5; 22.1;73; 19.9;90; 1008.2; 904.2; 1.0; 1.7; NE; 18.2; 19.9; 0.00; 0.00; 0.00; 0.00; 0.00
40; 23/11/2018 02:32:47;5; 22.1;73; 19.9;90; 1008.1; 904.1; 1.7; 2.4; ENE; 18.2; 19.9; 0.00; 0.00; 0.00; 0.00; 0.00
41; 23/11/2018 02:37:47;5; 22.1;73; 19.9;90; 1008.0; 904.0; 1.4; 3.4; NE; 18.2; 19.9; 0.00; 0.00; 0.00; 0.00; 0.00
42; 23/11/2018 02:42:47;5; 22.1;73; 19.9;90; 1007.9; 903.9; 1.4; 2.4; NE; 18.2; 19.9; 0.00; 0.00; 0.00; 0.00; 0.00
43; 23/11/2018 02:47:47;5; 22.1;73; 19.9;90; 1007.8; 903.8; 1.7; 2.7; E; 18.2; 19.9; 0.00; 0.00; 0.00; 0.00; 0.00
44; 23/11/2018 02:52:47;5; 22.1;73; 19.9;90; 1007.9; 903.9; 1.4; 2.4; N; 18.2; 19.9; 0.00; 0.00; 0.00; 0.00; 0.00
